NUTS3,CODE
'NL416','5411
'NL115','9791
'NL126','8476
'NL415','5165
'NL221','3844
'NL423','6341
'NL421','5807
'NL221','3841
'NL415','5161
'NL221','6733
'NL221','3845
'NL32B','2136
'NL422','6091
'NL221','3843
'NL126','8475
'NL32B','2135
'NL128','8724
'NL350','3989
'NL350','3451
'NL423','6343
'NL211','8332
'NL415','5021
'NL221','8082
'NL211','8331
'NL422','6093
'NL221','8081
'NL366','3061
'NL115','9793
'NL350','3701
'NL126','8478
'NL115','9792
'NL221','3846
'NL126','8477
'NL423','6342
'NL422','6092
'NL213','7661
'NL115','9796
'NL115','9795
'NL350','3703
'NL126','8454
'NL422','6096
'NL131','7910
'NL221','3849
'NL350','3453
'NL350','3702
'NL126','8453
'NL366','3063
'NL350','3452
'NL321','1742
'NL221','3848
'NL422','6095
'NL415','5022
'NL115','9794
'NL366','3062
'NL133','7913
'NL321','1741
'NL213','7663
'NL221','3847
'NL350','3705
'NL415','5025
'NL115','9771
'NL350','3704
'NL126','8456
'NL133','7912
'NL366','3065
'NL213','7662
'NL126','8455
'NL115','9774
'NL350','3454
'NL422','6097
'NL321','1744
'NL133','7911
'NL366','3064
'NL213','7665
'NL230','8312
'NL350','3707
'NL115','9773
'NL133','7915
'NL411','4772
'NL364','3311
'NL133','7914
'NL321','1601
'NL321','1747
'NL126','8458
'NL366','3068
'NL350','3706
'NL366','3067
'NL213','7664
'NL211','8061
'NL230','1351
'NL411','4771
'NL230','8311
'NL415','5026
'NL225','7271
'NL422','6099
'NL126','8457
'NL213','7521
'NL366','3066
'NL211','8064
'NL213','7522
'NL321','1746
'NL132','7917
'NL364','3313
'NL133','7916
'NL321','1749
'NL230','8314
'NL213','7667
'NL350','3455
'NL350','3709
'NL350','3708
'NL230','1353
'NL342','4381
'NL366','3069
'NL321','1602
'NL364','3312
'NL230','8313
'NL213','7666
'NL323','1921
'NL224','6669
'NL226','6523
'NL221','3776
'NL126','9246
'NL414','5561
'NL342','4384
'NL421','5953
'NL364','3319
'NL32B','2064
'NL226','6521
'NL363','2316
'NL342','4386
'NL127','9101
'NL342','4388
'NL321','1671
'NL350','3631
'NL364','3381
'NL363','2318
'NL226','6522
'NL115','9635
'NL350','3633
'NL226','6668
'NL213','7591
'NL364','3316
'NL115','9636
'NL225','7131
'NL342','4385
'NL363','2314
'NL423','6271
'NL363','2315
'NL225','7134
'NL364','4241
'NL126','9247
'NL411','4635
'NL363','2313
'NL364','3318
'NL342','4387
'NL364','4243
'NL350','4243
'NL342','4389
'NL364','3315
'NL363','2317
'NL226','6917
'NL126','9244
'NL226','6666
'NL421','5954
'NL421','5811
'NL32B','2065
'NL126','9241
'NL133','7984
'NL411','4634
'NL133','7985
'NL226','6524
'NL126','9243
'NL226','6916
'NL423','6274
'NL421','5951
'NL423','6273
'NL126','9245
'NL230','8317
'NL213','7523
'NL411','4631
'NL225','7273
'NL230','8316
'NL133','7918
'NL342','4382
'NL364','3317
'NL363','2312
'NL225','7275
'NL366','2921
'NL225','7274
'NL230','1352
'NL362','2671
